"","STUDENTID","AGE","GENDER","HS_TYPE","SCHOLARSHIP","WORK","ACTIVITY","PARTNER","SALARY","TRANSPORT","LIVING","MOTHER_EDU","FATHER_EDU","X._SIBLINGS","KIDS","MOTHER_JOB","FATHER_JOB","STUDY_HRS","READ_FREQ","READ_FREQ_SCI","ATTEND_DEPT","IMPACT","ATTEND","PREP_STUDY","PREP_EXAM","NOTES","LISTENS","LIKES_DISCUSS","CLASSROOM","CUML_GPA","EXP_GPA","COURSE.ID","GRADE"
"11","STUDENT11","<18 yrs","Male","Public","Full","Yes","Yes","Yes","RS.40k-RS.60k","Private","House","Secondary","High School","1","None","Clerk","Laborer","less than 1","Never","Never","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","3.0-3.5",1,"C"
"12","STUDENT12","<18 yrs","Male","Public","Merit","No","No","Yes","RS.60k-RS.80k","Private","House","Undergraduate","Undergraduate","0","None","Clerk","Laborer","3 to 5","Often","Often","Never","High","Regular","High","Moderate","Often","Never","Often","Noisy","3.0-3.5","<2.0",1,"F"
"13","STUDENT13","<18 yrs","Male","Public","Merit","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Undergraduate","3","One","Laborer","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Noisy","3.0-3.5","2.5-3.0",1,"F"
"14","STUDENT14","18-22 yrs","Male","Private","Need-based","No","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Clerk","less than 1","Sometimes","Never","Never","Low","Irregular","Low","Low","Often","Sometimes","Often","Noisy","3.0-3.5","3.0-3.5",1,"D"
"15","STUDENT15",">20 yrs","Female","Private","Merit","Yes","No","Yes","RS.40k-RS.60k","Walk","Apartment","Secondary","No Schooling","1","None","Manager","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Often","Sometimes","Quiet","3.0-3.5","2.0-2.5",1,"C"
"16","STUDENT16","18-22 yrs","Female","Private","Full","No","Yes","Yes","<RS.20k","Public","Apartment","High School","High School","1","None","Clerk","Unemployed","1 to 3","Sometimes","Sometimes","Often","High","Irregular","Low","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","<2.0",1,"C"
"17","STUDENT17","<18 yrs","Male","Private","Need-based","Yes","No","Yes","<RS.20k","Public","Dorm","Primary","Primary","3","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Sometimes","Often","Noisy","3.0-3.5","3.0-3.5",1,"D"
"18","STUDENT18","18-22 yrs","Female","Private","Full","No","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Moderate","2.0-2.5","2.5-3.0",1,"C"
"19","STUDENT19","<18 yrs","Male","Private","Merit","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Primary","Primary","4+","None","Laborer","Professional"," more than 7","Often","Sometimes","Often","Low","Irregular","Low","Low","Often","Never","Often","Noisy","2.5-3.0","3.0-3.5",1,"C"
"20","STUDENT20","<18 yrs","Female","Public","Full","No","Yes","No","RS.20k-RS.40k","Private","Apartment","Secondary","Secondary","2","None","Laborer","Manager","5 to 7","Sometimes","Sometimes","Never","Moderate","Regular","Low","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","<2.0",1,"C+"
"21","STUDENT21","<18 yrs","Female","Private","Need-based","No","Yes","No","<RS.20k","Walk","Apartment","Secondary","Secondary","2","One","Laborer","Clerk","5 to 7","Sometimes","Sometimes","Often","Low","Regular","Low","Moderate","Often","Never","Sometimes","Noisy","3.0-3.5","3.0-3.5",1,"D"
"22","STUDENT22","<18 yrs","Female","Private","Need-based","No","Yes","No","<RS.20k","Walk","Apartment","Primary","Primary","3","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",1,"D"
"23","STUDENT23","18-22 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","No Schooling","3","One","Laborer","Manager","3 to 5","Often","Often","Never","Low","Regular","Low","Moderate","Often","Never","Sometimes","Noisy","2.5-3.0","<2.0",1,"C+"
"24","STUDENT24",">20 yrs","Female","Private","Partial","Yes","No","Yes",">RS.80k","Public","Dorm","No Schooling","High School","2","None","Laborer","Unemployed","3 to 5","Sometimes","Often","Never","Low","Irregular","Low","Low","Often","Sometimes","Often","Noisy","2.5-3.0","2.5-3.0",1,"D"
"25","STUDENT25","18-22 yrs","Female","Private","Full","No","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","No Schooling","2","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Moderate","3.0-3.5","2.5-3.0",1,"C"
"26","STUDENT26","18-22 yrs","Female","Private","Full","No","Yes","No","<RS.20k","Public","Apartment","No Schooling","High School","2","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Moderate","<2.0","3.0-3.5",1,"C+"
"27","STUDENT27","18-22 yrs","Female","Private","Full","Yes","No","No","<RS.20k","Public","Dorm","High School","High School","3","None","Laborer","Manager","1 to 3","Often","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Often","Moderate","2.0-2.5","2.0-2.5",1,"D"
"28","STUDENT28","<18 yrs","Female","Public","Full","Yes","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","No Schooling","3","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Never","Sometimes","Quiet","2.0-2.5","3.0-3.5",1,"D"
"29","STUDENT29",">20 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Walk","Apartment","Primary","Primary","3","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Noisy",">3.5","3.0-3.5",1,"C+"
"30","STUDENT30","18-22 yrs","Female","Home School","Merit","No","Yes","Yes","<RS.20k","Walk","Apartment","Secondary","Secondary","1","None","Manager","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","2.0-2.5",1,"B+"
"31","STUDENT31","18-22 yrs","Female","Private","Need-based","Yes","No","No","<RS.20k","Public","Apartment","No Schooling","No Schooling","4+","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Often","Often","Noisy",">3.5","<2.0",1,"B+"
"32","STUDENT32",">20 yrs","Female","Private","Full","Yes","Yes","Yes","<RS.20k","Public","Apartment","No Schooling","Primary","3","None","Laborer","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Noisy","3.0-3.5","2.5-3.0",1,"C+"
"33","STUDENT33","18-22 yrs","Male","Private","Full","No","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",1,"D"
"34","STUDENT34","18-22 yrs","Male","Private","Full","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Clerk","1 to 3","Never","Sometimes","Never","Low","Regular","Low","Low","Never","Often","Sometimes","Moderate","2.0-2.5","2.5-3.0",1,"C"
"35","STUDENT35","<18 yrs","Female","Public","Full","No","Yes","No","RS.20k-RS.40k","Public","Dorm","Secondary","Secondary","2","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Often","Quiet","3.0-3.5","<2.0",1,"C"
"36","STUDENT36","<18 yrs","Female","Public","Merit","No","Yes","Yes","RS.40k-RS.60k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Never","Often","Quiet","<2.0","3.0-3.5",1,"D"
"37","STUDENT37","18-22 yrs","Female","Home School","Merit","No","Yes","No","RS.40k-RS.60k","Public","Dorm","No Schooling","No Schooling","1","One","Manager","Clerk","less than 1","Never","Often","Never","Low","Irregular","Moderate","Low","Sometimes","Never","Sometimes","Quiet","3.0-3.5","3.0-3.5",1,"C"
"38","STUDENT38","18-22 yrs","Female","Private","Full","Yes","No","No","RS.20k-RS.40k","Private","House","Secondary","Secondary","0","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Noisy",">3.5","2.5-3.0",1,"D"
"39","STUDENT39","18-22 yrs","Female","Private","Need-based","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Secondary","0","None","Laborer","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","3.0-3.5","2.5-3.0",1,"C"
"40","STUDENT40","18-22 yrs","Male","Private","Full","Yes","Yes","No","<RS.20k","Public","Apartment","No Schooling","Secondary","0","None","Laborer","Manager","less than 1","Sometimes","Never","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Noisy","2.0-2.5","2.0-2.5",1,"D"
"41","STUDENT41","<18 yrs","Female","Public","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Primary","Secondary","0","None","Laborer","Professional","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Never","Sometimes","Quiet","2.0-2.5","2.5-3.0",1,"D"
"42","STUDENT42",">20 yrs","Female","Private","Full","No","Yes","Yes","RS.20k-RS.40k","Public","Apartment","No Schooling","High School","1","None","Laborer","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Sometimes","Sometimes","Noisy","3.0-3.5","3.0-3.5",1,"D"
"43","STUDENT43","18-22 yrs","Female","Private","Full","Yes","No","Yes","<RS.20k","Walk","Apartment","High School","High School","1","None","Clerk","Unemployed","1 to 3","Sometimes","Never","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Quiet","2.0-2.5","2.0-2.5",1,"D"
"44","STUDENT44","<18 yrs","Female","Private","Full","No","Yes","No","<RS.20k","Public","Dorm","Primary","Secondary","2","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",1,"B"
"45","STUDENT45","18-22 yrs","Female","Home School","Full","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","Secondary","1","None","Laborer","Professional","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Sometimes","Quiet","3.0-3.5","2.0-2.5",1,"D"
"46","STUDENT46","<18 yrs","Female","Private","Full","No","Yes","No","RS.60k-RS.80k","Public","Dorm","Primary","Secondary","4+","None","Laborer","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","3.0-3.5","2.0-2.5",1,"C+"
"47","STUDENT47","18-22 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","Primary","2","None","Laborer","Professional","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Often","Quiet","3.0-3.5","3.0-3.5",1,"B+"
"48","STUDENT48","18-22 yrs","Female","Private","Full","No","Yes","No","<RS.20k","Public","Apartment","High School","Secondary","0","None","Professional","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Never","Often","Moderate",">3.5","2.5-3.0",1,"C+"
"49","STUDENT49","<18 yrs","Female","Private","Full","Yes","No","No","<RS.20k","Public","Apartment","Secondary","Secondary","2","None","Laborer","Laborer","less than 1","Never","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Moderate","2.0-2.5","3.0-3.5",1,"D"
"50","STUDENT50","<18 yrs","Female","Public","Merit","Yes","Yes","Yes","RS.20k-RS.40k","Walk","Dorm","Primary","Secondary","1","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Quiet","2.5-3.0","2.5-3.0",1,"C"
"51","STUDENT51","18-22 yrs","Female","Private","Full","Yes","Yes","No","RS.20k-RS.40k","Private","Dorm","No Schooling","No Schooling","1","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Noisy","2.5-3.0","<2.0",1,"D"
"52","STUDENT52","18-22 yrs","Male","Home School","Full","Yes","No","Yes","<RS.20k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Often","Often","Quiet","2.5-3.0","2.0-2.5",1,"B"
"53","STUDENT53","18-22 yrs","Male","Private","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","No Schooling","Secondary","3","None","Laborer","Unemployed","3 to 5","Never","Never","Never","Low","Regular","Low","Moderate","Sometimes","Sometimes","Sometimes","Quiet","3.0-3.5","2.5-3.0",1,"D"
"54","STUDENT54","18-22 yrs","Male","Private","Full","Yes","No","Yes","RS.20k-RS.40k","Public","Dorm","No Schooling","No Schooling","4+","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Moderate","2.5-3.0","<2.0",1,"B+"
"55","STUDENT55","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","RS.40k-RS.60k","Walk","Apartment","No Schooling","High School","1","None","Manager","Laborer","1 to 3","Never","Never","Never","Low","Regular","Low","Moderate","Often","Never","Often","Quiet",">3.5","<2.0",1,"C+"
"56","STUDENT56",">20 yrs","Female","Private","Full","No","Yes","No","RS.60k-RS.80k","Public","Apartment","No Schooling","No Schooling","4+","More than 1","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","High","Never","Often","Often","Noisy",">3.5","<2.0",1,"C+"
"57","STUDENT57","18-22 yrs","Female","Private","Full","Yes","No","Yes","<RS.20k","Public","Dorm","No Schooling","Secondary","4+","None","Laborer","Manager","5 to 7","Sometimes","Often","Never","Low","Regular","Low","Moderate","Often","Sometimes","Often","Noisy",">3.5","3.0-3.5",1,"B+"
"58","STUDENT58","18-22 yrs","Female","Private","Full","No","No","Yes","<RS.20k","Public","Dorm","High School","Primary","2","None","Clerk","Clerk","1 to 3","Often","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Quiet",">3.5","<2.0",1,"B"
"59","STUDENT59",">20 yrs","Female","Private","Full","Yes","Yes","No","RS.40k-RS.60k","Public","Dorm","No Schooling","Secondary","4+","One","Laborer","Unemployed","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Moderate",">3.5","2.0-2.5",1,"C+"
"60","STUDENT60","18-22 yrs","Female","Private","Full","Yes","No","No","<RS.20k","Public","Dorm","High School","High School","2","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Moderate","3.0-3.5","2.5-3.0",1,"B+"
"61","STUDENT61","18-22 yrs","Male","Private","Full","Yes","Yes","Yes",">RS.80k","Private","Dorm","Graduate","No Schooling","2","None","Laborer","Clerk","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Never","Often","Often","Quiet","2.0-2.5","2.5-3.0",1,"C"
"62","STUDENT62","<18 yrs","Female","Home School","Full","Yes","No","Yes","RS.20k-RS.40k","Public","Apartment","No Schooling","Secondary","3","None","Laborer","Clerk","3 to 5","Never","Sometimes","Never","High","Irregular","Low","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","<2.0",1,"B+"
"63","STUDENT63","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","<RS.20k","Walk","Apartment","Primary","Secondary","1","None","Laborer","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Often","Often","Moderate",">3.5","<2.0",1,"C+"
"64","STUDENT64","18-22 yrs","Female","Private","Merit","Yes","Yes","No","RS.20k-RS.40k","Public","Dorm","No Schooling","Secondary","2","None","Laborer","Unemployed","less than 1","Never","Sometimes","Never","Low","Regular","High","Low","Sometimes","Sometimes","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"B+"
"65","STUDENT65","18-22 yrs","Female","Home School","Need-based","Yes","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","High","Regular","Moderate","Low","Often","Sometimes","Often","Quiet","3.0-3.5","<2.0",1,"C+"
"66","STUDENT66","<18 yrs","Female","Private","Full","Yes","Yes","No","RS.40k-RS.60k","Public","Dorm","Primary","High School","2","None","Laborer","Manager","less than 1","Never","Sometimes","Never","High","Irregular","Moderate","Low","Sometimes","Never","Sometimes","Quiet","2.0-2.5","3.0-3.5",1,"C"
"67","STUDENT67","18-22 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Public","Dorm","Secondary","Primary","4+","None","Laborer","Professional","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Noisy",">3.5","3.0-3.5",1,"B+"
"68","STUDENT68","18-22 yrs","Female","Home School","Full","No","No","Yes","RS.40k-RS.60k","Public","Apartment","Secondary","High School","3","One","Laborer","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Never","Moderate","2.0-2.5","<2.0",1,"D"
"69","STUDENT69","18-22 yrs","Male","Private","Merit","No","Yes","Yes","<RS.20k","Public","Dorm","Primary","Secondary","4+","More than 1","Laborer","Professional","less than 1","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Often","Moderate","3.0-3.5","3.0-3.5",1,"B+"
"70","STUDENT70","18-22 yrs","Male","Private","Merit","Yes","Yes","No","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Clerk","less than 1","Never","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Often","Quiet","2.5-3.0","2.5-3.0",1,"B+"
"71","STUDENT71","<18 yrs","Female","Private","Merit","Yes","No","No","<RS.20k","Public","Dorm","High School","Secondary","0","One","Manager","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Often","Quiet",">3.5","3.0-3.5",1,"A+"
"72","STUDENT72","<18 yrs","Male","Home School","Merit","Yes","Yes","Yes","<RS.20k","Public","House","No Schooling","Secondary","4+","None","Laborer","Manager","1 to 3","Sometimes","Never","Never","Low","Regular","Low","Low","Sometimes","Often","Often","Noisy","2.0-2.5","<2.0",1,"A"
"73","STUDENT73","<18 yrs","Female","Private","Full","Yes","No","No","<RS.20k","Public","Apartment","No Schooling","No Schooling","1","None","Laborer","Clerk","1 to 3","Often","Often","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Often","Moderate","2.5-3.0","3.0-3.5",1,"A"
"74","STUDENT74","18-22 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Public","Apartment","No Schooling","Secondary","3","None","Laborer","Manager","3 to 5","Never","Never","Often","Low","Regular","Low","Moderate","Often","Sometimes","Often","Quiet",">3.5","3.0-3.5",1,"A"
"75","STUDENT75","<18 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","2","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Often","Low","Regular","Moderate","Low","Often","Sometimes","Often","Moderate","2.5-3.0","3.0-3.5",1,"A+"
"76","STUDENT76","<18 yrs","Female","Private","Merit","Yes","No","Yes","<RS.20k","Public","House","No Schooling","Undergraduate","3","None","Laborer","Laborer","3 to 5","Often","Never","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Moderate","3.0-3.5","2.0-2.5",1,"A+"
"77","STUDENT77","18-22 yrs","Female","Public","Partial","Yes","No","Yes","RS.20k-RS.40k","Public","Dorm","Undergraduate","High School","2","None","Manager","Clerk","1 to 3","Often","Sometimes","Never","Low","Regular","High","Moderate","Sometimes","Never","Sometimes","Noisy","2.0-2.5","2.5-3.0",1,"B"
"78","STUDENT78","<18 yrs","Female","Public","Partial","Yes","Yes","No","RS.20k-RS.40k","Private","Apartment","Graduate","Undergraduate","1","None","Manager","Laborer","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","High","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","2.0-2.5",1,"A+"
"79","STUDENT79","18-22 yrs","Male","Private","Merit","No","No","Yes","<RS.20k","Public","Dorm","No Schooling","Secondary","3","None","Laborer","Manager","1 to 3","Often","Often","Never","Low","Irregular","Low","Low","Often","Often","Sometimes","Moderate","2.0-2.5","3.0-3.5",1,"B"
"80","STUDENT80","18-22 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","Secondary","3","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","High","Regular","Low","Low","Often","Often","Often","Moderate","3.0-3.5","2.5-3.0",1,"C+"
"81","STUDENT81","18-22 yrs","Male","Private","Full","No","Yes","No","<RS.20k","Private","Dorm","No Schooling","No Schooling","1","None","Laborer","Clerk","less than 1","Never","Never","Never","High","Regular","Low","Low","Sometimes","Often","Never","Moderate","3.0-3.5","2.0-2.5",1,"B"
"82","STUDENT82",">20 yrs","Female","Private","Full","No","Yes","Yes","<RS.20k","Public","Apartment","No Schooling","Primary","3","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Noisy",">3.5","3.0-3.5",1,"C+"
"83","STUDENT83","18-22 yrs","Female","Private","Merit","No","Yes","No","RS.20k-RS.40k","Public","Dorm","Secondary","No Schooling","2","None","Laborer","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Noisy","3.0-3.5","3.0-3.5",1,"A+"
"84","STUDENT84","18-22 yrs","Female","Home School","Full","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","High School","High School","1","None","Unemployed","Laborer","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Often","Noisy","<2.0","3.0-3.5",1,"A+"
"85","STUDENT85",">20 yrs","Female","Home School","Full","No","Yes","No","RS.40k-RS.60k","Public","Apartment","High School","Primary","4+","More than 1","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","High","Often","Often","Often","Noisy",">3.5","<2.0",1,"A+"
"86","STUDENT86","<18 yrs","Female","Private","Need-based","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","No Schooling","No Schooling","4+","None","Laborer","Unemployed","less than 1","Never","Never","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Noisy","3.0-3.5","2.5-3.0",1,"B"
"87","STUDENT87","18-22 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Walk","Apartment","Secondary","Secondary","1","None","Manager","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Moderate",">3.5","<2.0",1,"B+"
"88","STUDENT88","18-22 yrs","Female","Private","Full","Yes","No","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","High School","1","None","Unemployed","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","3.0-3.5",1,"A"
"89","STUDENT89","<18 yrs","Female","Private","Merit","Yes","No","No","<RS.20k","Public","Dorm","High School","High School","0","None","Clerk","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Moderate","Often","Never","Sometimes","Noisy",">3.5","2.0-2.5",1,"A"
"90","STUDENT90","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Undergraduate","2","None","Laborer","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Never","Often","Noisy","2.5-3.0","3.0-3.5",1,"A"
